Filename	Individual	Growth
GSM238517.cel	NA06985	growth1
GSM238518.cel	NA06985	growth2
GSM238519.cel	NA06985	growth3
GSM238520.cel	NA06993	growth1
GSM238521.cel	NA06993	growth2
GSM238522.cel	NA06993	growth3
GSM238523.cel	NA06994	growth1
GSM238524.cel	NA06994	growth2
GSM238525.cel	NA06994	growth3
GSM238526.cel	NA07000	growth1
GSM238527.cel	NA07000	growth2
GSM238528.cel	NA07000	growth3
GSM238529.cel	NA07022	growth1
GSM238530.cel	NA07022	growth2
GSM238531.cel	NA07022	growth3
GSM238532.cel	NA07034	growth1
GSM238533.cel	NA07034	growth2
GSM238534.cel	NA07034	growth3
GSM238535.cel	NA07055	growth1
GSM238536.cel	NA07055	growth2
GSM238537.cel	NA07055	growth3
GSM238538.cel	NA07056	growth1
GSM238539.cel	NA07056	growth2
GSM238540.cel	NA07056	growth3
GSM238541.cel	NA07345	growth1
GSM238542.cel	NA07345	growth2
GSM238543.cel	NA07345	growth3
GSM238544.cel	NA07357	growth1
GSM238545.cel	NA07357	growth2
GSM238546.cel	NA07357	growth3
GSM238547.cel	NA11829	growth1
GSM238548.cel	NA11829	growth2
GSM238549.cel	NA11829	growth3
GSM238550.cel	NA11830	growth1
GSM238551.cel	NA11830	growth2
GSM238552.cel	NA11830	growth3
GSM238553.cel	NA11831	growth1
GSM238554.cel	NA11831	growth2
GSM238555.cel	NA11831	growth3
GSM238556.cel	NA11832	growth1
GSM238557.cel	NA11832	growth2
GSM238558.cel	NA11832	growth3
GSM238559.cel	NA11839	growth1
GSM238560.cel	NA11839	growth2
GSM238561.cel	NA11839	growth3
GSM238562.cel	NA11840	growth1
GSM238563.cel	NA11840	growth2
GSM238564.cel	NA11840	growth3
GSM238565.cel	NA11881	growth1
GSM238566.cel	NA11881	growth2
GSM238567.cel	NA11881	growth3
GSM238568.cel	NA11882	growth1
GSM238569.cel	NA11882	growth2
GSM238570.cel	NA11882	growth3
GSM238571.cel	NA11992	growth1
GSM238572.cel	NA11992	growth2
GSM238573.cel	NA11992	growth3
GSM238574.cel	NA11993	growth1
GSM238575.cel	NA11993	growth2
GSM238576.cel	NA11993	growth3
GSM238577.cel	NA11994	growth1
GSM238578.cel	NA11994	growth2
GSM238579.cel	NA11994	growth3
GSM238580.cel	NA11995	growth1
GSM238581.cel	NA11995	growth2
GSM238582.cel	NA11995	growth3
GSM238583.cel	NA12003	growth1
GSM238584.cel	NA12003	growth2
GSM238585.cel	NA12003	growth3
GSM238586.cel	NA12004	growth1
GSM238587.cel	NA12004	growth2
GSM238588.cel	NA12004	growth3
GSM238589.cel	NA12005	growth1
GSM238590.cel	NA12005	growth2
GSM238591.cel	NA12005	growth3
GSM238592.cel	NA12006	growth1
GSM238593.cel	NA12006	growth2
GSM238594.cel	NA12006	growth3
GSM238595.cel	NA12043	growth1
GSM238596.cel	NA12043	growth2
GSM238597.cel	NA12043	growth3
GSM238598.cel	NA12044	growth1
GSM238599.cel	NA12044	growth2
GSM238600.cel	NA12044	growth3
GSM238601.cel	NA12056	growth1
GSM238602.cel	NA12056	growth2
GSM238603.cel	NA12056	growth3
GSM238604.cel	NA12057	growth1
GSM238605.cel	NA12057	growth2
GSM238606.cel	NA12057	growth3
GSM238607.cel	NA12144	growth1
GSM238608.cel	NA12144	growth2
GSM238609.cel	NA12144	growth3
GSM238610.cel	NA12145	growth1
GSM238611.cel	NA12145	growth2
GSM238612.cel	NA12145	growth3
GSM238613.cel	NA12146	growth1
GSM238614.cel	NA12146	growth2
GSM238615.cel	NA12146	growth3
GSM238616.cel	NA12154	growth1
GSM238617.cel	NA12154	growth2
GSM238618.cel	NA12154	growth3
GSM238619.cel	NA12155	growth1
GSM238620.cel	NA12155	growth2
GSM238621.cel	NA12155	growth3
GSM238622.cel	NA12156	growth1
GSM238623.cel	NA12156	growth2
GSM238624.cel	NA12156	growth3
GSM238625.cel	NA12234	growth1
GSM238626.cel	NA12234	growth2
GSM238627.cel	NA12234	growth3
GSM238628.cel	NA12239	growth1
GSM238629.cel	NA12239	growth2
GSM238630.cel	NA12239	growth3
GSM238631.cel	NA12248	growth1
GSM238632.cel	NA12248	growth2
GSM238633.cel	NA12248	growth3
GSM238634.cel	NA12249	growth1
GSM238635.cel	NA12249	growth2
GSM238636.cel	NA12249	growth3
GSM238637.cel	NA12264	growth1
GSM238638.cel	NA12264	growth2
GSM238639.cel	NA12264	growth3
GSM238640.cel	NA12750	growth1
GSM238641.cel	NA12750	growth2
GSM238642.cel	NA12750	growth3
GSM238643.cel	NA12751	growth1
GSM238644.cel	NA12751	growth2
GSM238645.cel	NA12751	growth3
GSM238646.cel	NA12760	growth1
GSM238647.cel	NA12760	growth2
GSM238648.cel	NA12760	growth3
GSM238649.cel	NA12761	growth1
GSM238650.cel	NA12761	growth2
GSM238651.cel	NA12761	growth3
GSM238652.cel	NA12762	growth1
GSM238653.cel	NA12762	growth2
GSM238654.cel	NA12762	growth3
GSM238655.cel	NA12763	growth1
GSM238656.cel	NA12763	growth2
GSM238657.cel	NA12763	growth3
GSM238658.cel	NA12812	growth1
GSM238659.cel	NA12812	growth2
GSM238660.cel	NA12812	growth3
GSM238661.cel	NA12813	growth1
GSM238662.cel	NA12813	growth2
GSM238663.cel	NA12813	growth3
GSM238664.cel	NA12814	growth1
GSM238665.cel	NA12814	growth2
GSM238666.cel	NA12814	growth3
GSM238667.cel	NA12815	growth1
GSM238668.cel	NA12815	growth2
GSM238669.cel	NA12815	growth3
GSM238670.cel	NA12872	growth1
GSM238671.cel	NA12872	growth2
GSM238672.cel	NA12872	growth3
GSM238673.cel	NA12873	growth1
GSM238674.cel	NA12873	growth2
GSM238675.cel	NA12873	growth3
GSM238676.cel	NA12874	growth1
GSM238677.cel	NA12874	growth2
GSM238678.cel	NA12874	growth3
GSM238679.cel	NA12875	growth1
GSM238680.cel	NA12875	growth2
GSM238681.cel	NA12875	growth3
GSM238682.cel	NA12891	growth1
GSM238683.cel	NA12891	growth2
GSM238684.cel	NA12891	growth3
GSM238685.cel	NA12892	growth1
GSM238686.cel	NA12892	growth2
GSM238687.cel	NA12892	growth3
